address,ath_mc,ath_token_symbol,ath_token_address,last_token_date,token_deployed,avg_tokens_per_day,avg_market_cap,median_market_cap,total_creator_fees,realized_pnl_usd,total_pnl_usd,winrate,launchpads_used
FfRwuR6YHgCgqKg2P9xB25KPKXkiH5jTjyhExZmvbZiP,324674.9595,Sunny,3w6EVYyzKzgZrKQZMc2RjCYSK1rbGiGBBjKnxKU7pump,2026-03-19 12:55:32,325,2,2468.35,2455.31,0.066475,18421.26,18421.26,6.56,Pump.fun
3PC5geEFHgPC8vxNcSQK6ubnyPdcuQC5Wiu3KbG4PNay,7720217.172,Vance,BMzv2ZS5952pvMWTzBbjsrBc8JRAqLQmwqERZsEWpump,2025-12-30 23:51:59,325,2,3970.55,3807.43,37.040177,224929.12,224929.12,42.26,"Pump.fun, letsbonk"
4n5Ssh1RvXxEjakc1xHbm2wSYWnZgT8mAYpqrNxv5jeJ,218071.4489,FTO,8fEtodWGZUuiZtPmvwMEcncKe55wnPGxNDGbxK8j8Mqg,2025-12-11 20:37:59,323,2,4104.41,4116.35,86.971376,-3746.74,-10311.62,18.01,"Pump.fun, letsbonk"
3MGH8SfDnBtkgGRxag8xVtwfhEv4QqYAD8FD9JaUm8CA,2267265.506,amen,5DEZasuLuv5F1seDP3Lh6NFoGhjgDTjbTdbGsC59pump,2026-03-11 18:50:11,322,2,3027.69,2749.61,54.729404,28249.61,28249.6,55.98,"Pump.fun, bonkers"
DbWsihGrTkngSnHfX3byVNAciQpuThLBE6Rr8KURAEHm,92733.742,WB,3LVfFfLKDMSTb3KaeRhW3oXZkNFDeXkNqwRpx7r1XufA,2026-03-13 16:46:06,320,2,3520.72,3620.09,27.034833,109358.09,108932.59,28.69,"Pump.fun, letsbonk"
8ur9Px2ffAo76NAF7b5nga5TeKnChXpzijTAXg4fqF8H,59297.632,DOGECHAN,6N9AMskkUAFSqq9d6wd3KdftwaEkwfJMaTKkFWtmpump,2025-11-10 16:24:58,320,2,4797.39,4723.42,8.53565,41896.55,41896.55,49.24,Pump.fun
HTpQKJ6BwSCCW5QUn5GBZ2dBUdUtY8S3CztPpx4YaSdb,60532.734,meme-fill,CxkZDTxi3hnRSN2R9NhyBpz9YgjC7Lub1jJb5G65pump,2025-11-11 17:32:24,320,2,4569.29,4662.69,24.585994,64815.44,64815.44,84.78,"Pump.fun, letsbonk"
95ZCf3jKMHeFYvPXVZW3Ek6AEPDyjebosqnc7eNioVMo,2440094.9,Win,6JUCiMKFPaYAbGgZyyYEMDDut7usLbsuNwhPuNDApump,2026-03-21 17:20:22,318,2,2666.65,2516.02,567.669527,165588.95,165588.95,83.13,"Pump.fun, bonkers, letsbonk, pump_agent"
3rUEYKDtViNnBTWZLo2JGzQL3myfVmQDGJ1eamZJ2MDV,197503.32,MAYHEM,EzudGy5TdRgXNhs3jd4a28V3ARw5VXyjMrZkxQtro8ZH,2025-11-12 16:24:58,317,2,4448.31,4388.17,10.598132,70961.73,70961.73,42.57,"Pump.fun, letsbonk, pump_mayhem"
9rkmZD29rgx8qsNY8bPtgBe28QjsB9Dzr7cR9Qx68baD,33443.137,Kickcoin,EC6DCchAWXm8qyejfTJai833ssVDdAdPvVFRnA6tZ2EN,2025-10-07 21:02:51,317,2,6330.1,6436.87,0.192299,23178.41,23178.41,46.25,Pump.fun
