Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
6ytP9xopLwU1qoPVRr1SeApD3w2Ev2jHFhndWfJ3mYkH7jYPrPkYHxi3povqHCBsGHTj21iCuUdFgTScGKUJaRS,1774692395,2026-03-28T10:06:35.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
6ytP9xopLwU1qoPVRr1SeApD3w2Ev2jHFhndWfJ3mYkH7jYPrPkYHxi3povqHCBsGHTj21iCuUdFgTScGKUJaRS,1774692395,2026-03-28T10:06:35.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
6ytP9xopLwU1qoPVRr1SeApD3w2Ev2jHFhndWfJ3mYkH7jYPrPkYHxi3povqHCBsGHTj21iCuUdFgTScGKUJaRS,1774692395,2026-03-28T10:06:35.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
6ytP9xopLwU1qoPVRr1SeApD3w2Ev2jHFhndWfJ3mYkH7jYPrPkYHxi3povqHCBsGHTj21iCuUdFgTScGKUJaRS,1774692395,2026-03-28T10:06:35.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
6ytP9xopLwU1qoPVRr1SeApD3w2Ev2jHFhndWfJ3mYkH7jYPrPkYHxi3povqHCBsGHTj21iCuUdFgTScGKUJaRS,1774692395,2026-03-28T10:06:35.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
6ytP9xopLwU1qoPVRr1SeApD3w2Ev2jHFhndWfJ3mYkH7jYPrPkYHxi3povqHCBsGHTj21iCuUdFgTScGKUJaRS,1774692395,2026-03-28T10:06:35.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
6ytP9xopLwU1qoPVRr1SeApD3w2Ev2jHFhndWfJ3mYkH7jYPrPkYHxi3povqHCBsGHTj21iCuUdFgTScGKUJaRS,1774692395,2026-03-28T10:06:35.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
6ytP9xopLwU1qoPVRr1SeApD3w2Ev2jHFhndWfJ3mYkH7jYPrPkYHxi3povqHCBsGHTj21iCuUdFgTScGKUJaRS,1774692395,2026-03-28T10:06:35.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2039280,out,0.1698,9,SOL,1.0
3h61r1HZvPKPrhaeMQ2vpVQ8r14bxwGutof7Yq6rKYHLXdFJSy3irEXhnAUwvbnHGKphB4ksxBSyJePKaKdhP4F7,1774692394,2026-03-28T10:06:34.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2039280,out,0.1698,9,SOL,1.0
3h61r1HZvPKPrhaeMQ2vpVQ8r14bxwGutof7Yq6rKYHLXdFJSy3irEXhnAUwvbnHGKphB4ksxBSyJePKaKdhP4F7,1774692394,2026-03-28T10:06:34.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2039280,out,0.1698,9,SOL,1.0
3h61r1HZvPKPrhaeMQ2vpVQ8r14bxwGutof7Yq6rKYHLXdFJSy3irEXhnAUwvbnHGKphB4ksxBSyJePKaKdhP4F7,1774692394,2026-03-28T10:06:34.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2039280,out,0.1698,9,SOL,1.0
3h61r1HZvPKPrhaeMQ2vpVQ8r14bxwGutof7Yq6rKYHLXdFJSy3irEXhnAUwvbnHGKphB4ksxBSyJePKaKdhP4F7,1774692394,2026-03-28T10:06:34.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2039280,out,0.1698,9,SOL,1.0
3h61r1HZvPKPrhaeMQ2vpVQ8r14bxwGutof7Yq6rKYHLXdFJSy3irEXhnAUwvbnHGKphB4ksxBSyJePKaKdhP4F7,1774692394,2026-03-28T10:06:34.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2039280,out,0.1698,9,SOL,1.0
3h61r1HZvPKPrhaeMQ2vpVQ8r14bxwGutof7Yq6rKYHLXdFJSy3irEXhnAUwvbnHGKphB4ksxBSyJePKaKdhP4F7,1774692394,2026-03-28T10:06:34.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2039280,out,0.1698,9,SOL,1.0
3h61r1HZvPKPrhaeMQ2vpVQ8r14bxwGutof7Yq6rKYHLXdFJSy3irEXhnAUwvbnHGKphB4ksxBSyJePKaKdhP4F7,1774692394,2026-03-28T10:06:34.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2039280,out,0.1698,9,SOL,1.0
3h61r1HZvPKPrhaeMQ2vpVQ8r14bxwGutof7Yq6rKYHLXdFJSy3irEXhnAUwvbnHGKphB4ksxBSyJePKaKdhP4F7,1774692394,2026-03-28T10:06:34.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2039280,out,0.1698,9,SOL,1.0
3h61r1HZvPKPrhaeMQ2vpVQ8r14bxwGutof7Yq6rKYHLXdFJSy3irEXhnAUwvbnHGKphB4ksxBSyJePKaKdhP4F7,1774692394,2026-03-28T10:06:34.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2039280,out,0.1698,9,SOL,1.0
3h61r1HZvPKPrhaeMQ2vpVQ8r14bxwGutof7Yq6rKYHLXdFJSy3irEXhnAUwvbnHGKphB4ksxBSyJePKaKdhP4F7,1774692394,2026-03-28T10:06:34.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2039280,out,0.1698,9,SOL,1.0
