Account,Token Account,Quantity,Percentage
J4of7A3sC2M8dxEHSCcEqYh96orqo6uC2yfiH1w3bBkX,ChED4jTTtL22oUjZ5CiDdbkKUoPg5nhwZftGmFpVjmja,3465563.51808775,0.35
9Gs9BvxS4ntfS8FYHyQVUzv9svXKH9G1k67rDHwJdrTJ,9ku817HVaoD1x8RzQHDV1yFjBw4fsSDcvhJeEahc9Ywt,3331558.924420771,0.33
3FWrwMaypuU3is9xyn6iVjePJMG2CeXbvqBo2ufVc2Xa,BrsBjLnqCgeQft3ehCn1CBFXr63rB5MsPn5wD9DGAHXn,3293044.692756,0.33
HzJKR5ByRvovdqpdwEfbufR2my2EhbJWT94K4CgiV1eM,Jsp5cTGj5oKFHSZxZVcASGyU2g5AMebvTgSM3RdwMKn,3222710.094558655,0.32
DMfdnTgUCSyk3CLceeGUU9VUpyxDQ2iD477UFtQXCHos,EUMAN8FjvkarCmcfe2HNTucoTBd4jeYMJHzkj24DKW2A,3216231.06753764,0.32
FVNKFwPJej5jdiuDbbKPbuxzQWZTMFMk82aXo57Sa8YG,Hg6VvQLFWHfmw6yW66EcnCky9hd2uQ7z7Ncn9A8giaVR,3064500.885755199,0.31
8XAigAYwgAe2GgfzR27wnZBtfoAKtkL6tdWmppauoPuj,5ga8R6776tA4tn8b8dPSPYk6NBe3BbqWCjJuDj7xofYf,2965731.341825428,0.30
5AeFeVdTqzBYaMqT2K6MrGFh43WVdjrEZPsjHMUnPpqy,Gy7PJQ6feyXwVAXcZcZsU4K56zL4ZA5Rmx7eVNAdEXda,2699632.867814664,0.27
9jE8WnGrJoz11q8CyA8ZWLT7jWQZo2yFQVemhVpNRXb8,1Sa7PVvbAdTCw3kuNHvVjovsrnggALN539ywCeopDT5,2662587.082663046,0.27
F4CPNwVkaAYKKv8uMPeBKBGDTGJw1vDDNvyGztqZbTRZ,AkcCjRRqSkzcdhsNphTVrog75qgVwNn8nuAXTfaeu4Mg,2648730.520064599,0.26
QayQTuPNEzWjjXAb5K7aF9i7epSBaEcQsAzG8Qubbty,4KsviPHWLZVtFMeo5Vh981pKBUJYDbJF7FdFNoJRpLxi,2624826.592070635,0.26
3PGrWPEfTC1f3PaeNipwfnq3QaG1NxjxNyq67pEtNZnR,G7Q5hYgjSxVFvNrNAdYWE5yi87f7APUQSLZPfuGh4yiP,2510311.722186111,0.25
4oCuFfajsfta12LZWPJN526rb6pxuozDEnrpjYxhjb9C,DtuMVT2MoFCvPnrebjt4VjRP4kY5ia11ykSRb6356bvf,2500000,0.25
GPWZXKgqNCWPNnGVWKs1RLKN93Nk9j6CjQ2YXEVzF2qg,3PJsvviboDe14ocnWrm1QkU8zosFpP1kT2igBtYs8YYC,2498243.520175199,0.25
81zeStn8DhEFgPHaxrDrTEkKtKoo1MoSkkVLxEVyrg9K,CWBb3jxpbfH4wYSoKJ6b2fQ9FbWaXsgNUnAaoZ8CDTyA,2425791.390208813,0.24
8W316LzHHGJyKbRSEbnxewfz5EWqwvqk8uuo4o9dJyS4,DSNaP23zx1rHbX3vQbTmaWXWMnDgszLrx4EAJibdsa9v,2359578.453566381,0.24
AkKmFztxZX4prBdt1myiiRtJVz83JtXx2QvcdcCaLtWa,3uxxVDhMnPDEX9sVQaNyhDXmBMVbsWDszmzBqKaEpCYU,2303840.611272217,0.23
3N5MdcmrxrYeffk4493gwrKBmfWExQHvNgANFZwdLkB9,5prmr5rvjkcJkCodaDUXRusMmNkpqstg6bduc5J9CCVh,2270652.563781488,0.23
DNyaXgdxAV9oAnFnU3uoYKDqrZFTM6LhJ374gMemrfNZ,8YbdjVK7Cr7GHnVHkTprdAveAUFB4mr2QFSjrrST8bjV,2221786.514290802,0.22
8NrncwKKQxrM6Xf8ucLu3KnSoNfvNQN6rEKFQiEafg8k,AfJFHDyBsKYEvf4pbqw6Yi45QhC9stwDfNjy7FnVBqAu,2218939.073338836,0.22
8gWXm8nBg8ebr97LPhzWTUMsyxVvBvJMBrQ4V2FzcjJ6,BNaG6Rma4ywVqHWyy8k7xFVLN2cQ4Y1mTPxhbKvKYK6R,2182356.44777435,0.22
6PXJTkZNAhynYMGm6v3qNv3FKCJxU6EHhYFKo7vEFKKT,BaX6oakNorKruwXrvXp7w4nqb1MFf1UcAuDJvwnxwkty,2144462.640131218,0.21
DBgZFkhwj5ZVfhnTSuAnd4oAkyvcmLH2Md98bMaXEidB,Gy5QhTGPUxbz9CmiTLW33szNdvYL4Py8osTDYkKtsHae,2095558.335422966,0.21
